"만나이_생활연령기준","총 자녀수","보육료 및 교육비 외 지원액 - 시간제보육료","보육료 및 교육비 외 지원액 - 양육수당","보육료 및 교육비 외 지원액 - 아이돌보미 비용","보육료 및 교육비 외 지원액 - 바우처(학습지 등)","보육료 및 교육비 외 지원액 - 기타","보육료 및 교육비 외 지원 총액","아이와의 시간- 어머니 평일","아이와의 시간- 어머니 주말","아이와의 시간- 아버지 평일","아이와의 시간- 아버지 주말","기관이용 기간","차액 보육료/교육료","특별활봉비/방과후과정 특성화활동비","현장학습비, 행사비 등","차량운행비","(유치원)방과후과정비(종일반비)","교재비","급간식비","보육/교육기관 총 비용: 추가보육료(납부현금 소계)","보육/교육기관 총 비용: 총보육료"
0,1,,,,,,,11,14,0,10,1,0,0,0,0,0,0,0,0,0
0,1,,,,,,,15,16,10,10,5,0,0,0,0,0,0,0,0,0
0,1,,,,,,,3,10,0.5,10,4,0,0,0,0,0,0,0,0,0
0,1,,,,,,,3,3,4,12,6,0,0,0,0,0,0,30,30,30
0,1,,,,,,,4,10,4,10,8,0,0,0,0,0,0,0,0,0
0,1,,,,,,,6,12,3,3,7,0,0,0,0,0,0,0,0,0
0,1,,,,,,,7,14,4,14,1,0,0,20,0,0,0,0,20,20
0,1,,100,,,,100,15,18,3,3,,,,,,,,,,
0,1,,150,,,,150,6,18,4,3.5,,,,,,,,,,
0,1,,200,,,,200,0,16,12,10,,,,,,,,,,
0,1,,200,,,,200,10,10,1,1,,,,,,,,,,
0,1,,200,,,,200,10,10,10,10,,,,,,,,,,
0,1,,200,,,,200,10,10,10,10,,,,,,,,,,
0,1,,200,,,,200,10,10,2,10,,,,,,,,,,
0,1,,200,,,,200,10,10,2,10,,,,,,,,,,
0,1,,200,,,,200,10,10,2,10,,,,,,,,,,
0,1,,200,,,,200,10,10,2,10,,,,,,,,,,
0,1,,200,,,,200,10,10,2,2,,,,,,,,,,
0,1,,200,,,,200,10,10,3,10,,,,,,,,,,
0,1,,200,,,,200,10,10,3,10,,,,,,,,,,
0,1,,200,,,,200,10,10,3,10,,,,,,,,,,
0,1,,200,,,,200,10,10,3,10,,,,,,,,,,
0,1,,200,,,,200,10,10,3,5,,,,,,,,,,
0,1,,200,,,,200,10,10,4,6,,,,,,,,,,
0,1,,200,,,,200,10,10,5,10,,,,,,,,,,
0,1,,200,,,,200,10,10,5,10,,,,,,,,,,
0,1,,200,,,,200,10,10,5,10,,,,,,,,,,
0,1,,200,,,,200,10,10,7,10,,,,,,,,,,
